state,startedTime,progress,elapsedTime,amHostHttpAddress,allocatedMB,allocatedVCores,runningContainers,clusterUsagePercentage,jobId,timestamp
RUNNING,1727825963169,0.0,5304,worker27:8042,2048,1,1,0.0,application_1727684395822_0121,2024-10-02T00:39:27
RUNNING,1727825963169,5.0,7324,worker27:8042,30720,29,29,0.05,application_1727684395822_0121,2024-10-02T00:39:29
RUNNING,1727825963169,5.0,9351,worker27:8042,41984,40,40,0.05,application_1727684395822_0121,2024-10-02T00:39:31
RUNNING,1727825963169,5.0,11404,worker27:8042,30720,29,29,0.05,application_1727684395822_0121,2024-10-02T00:39:33
RUNNING,1727825963169,5.0,13433,worker27:8042,30720,29,29,0.05,application_1727684395822_0121,2024-10-02T00:39:36
RUNNING,1727825963169,5.0,15480,worker27:8042,30720,29,29,0.05,application_1727684395822_0121,2024-10-02T00:39:38
RUNNING,1727825963169,5.0,17510,worker27:8042,30720,29,29,0.05,application_1727684395822_0121,2024-10-02T00:39:40
RUNNING,1727825963169,5.0,19565,worker27:8042,30720,29,29,0.05,application_1727684395822_0121,2024-10-02T00:39:42
RUNNING,1727825963169,5.0,21626,worker27:8042,30720,29,29,0.05,application_1727684395822_0121,2024-10-02T00:39:44
RUNNING,1727825963169,18.795223,23652,worker27:8042,30720,29,29,0.18795223,application_1727684395822_0121,2024-10-02T00:39:46
RUNNING,1727825963169,18.795223,25678,worker27:8042,30720,29,29,0.18795223,application_1727684395822_0121,2024-10-02T00:39:48
RUNNING,1727825963169,21.903711,27707,worker27:8042,29696,28,28,0.21903711,application_1727684395822_0121,2024-10-02T00:39:50
RUNNING,1727825963169,27.69735,29736,worker27:8042,28672,27,27,0.2769735,application_1727684395822_0121,2024-10-02T00:39:52
RUNNING,1727825963169,27.69735,31782,worker27:8042,28672,27,27,0.2769735,application_1727684395822_0121,2024-10-02T00:39:54
RUNNING,1727825963169,35.56252,34855,worker27:8042,21504,20,20,0.3556252,application_1727684395822_0121,2024-10-02T00:39:56
RUNNING,1727825963169,38.94891,35836,worker27:8042,19456,18,18,0.3894891,application_1727684395822_0121,2024-10-02T00:39:58
RUNNING,1727825963169,42.78926,37865,worker27:8042,12288,11,11,0.4278926,application_1727684395822_0121,2024-10-02T00:40:00
RUNNING,1727825963169,47.330456,39886,worker27:8042,7168,6,6,0.47330456,application_1727684395822_0121,2024-10-02T00:40:02
RUNNING,1727826073349,5.0,6263,worker24:8042,4096,3,3,0.05,application_1727684395822_0122,2024-10-02T00:41:19
RUNNING,1727826073349,5.0,8290,worker24:8042,32768,31,31,0.05,application_1727684395822_0122,2024-10-02T00:41:21
RUNNING,1727826073349,5.0,10311,worker24:8042,30720,29,29,0.05,application_1727684395822_0122,2024-10-02T00:41:23
RUNNING,1727826073349,5.0,12339,worker24:8042,30720,29,29,0.05,application_1727684395822_0122,2024-10-02T00:41:25
RUNNING,1727826073349,5.0,14370,worker24:8042,30720,29,29,0.05,application_1727684395822_0122,2024-10-02T00:41:27
RUNNING,1727826073349,5.0,16405,worker24:8042,30720,29,29,0.05,application_1727684395822_0122,2024-10-02T00:41:29
RUNNING,1727826073349,5.0,18457,worker24:8042,30720,29,29,0.05,application_1727684395822_0122,2024-10-02T00:41:31
RUNNING,1727826073349,5.0,20497,worker24:8042,30720,29,29,0.05,application_1727684395822_0122,2024-10-02T00:41:33
RUNNING,1727826073349,13.867186,22526,worker24:8042,30720,29,29,0.13867186,application_1727684395822_0122,2024-10-02T00:41:35
RUNNING,1727826073349,18.858845,24555,worker24:8042,30720,29,29,0.18858845,application_1727684395822_0122,2024-10-02T00:41:37
RUNNING,1727826073349,20.413149,26593,worker24:8042,28672,27,27,0.20413149,application_1727684395822_0122,2024-10-02T00:41:39
RUNNING,1727826073349,26.863108,28617,worker24:8042,28672,27,27,0.26863108,application_1727684395822_0122,2024-10-02T00:41:41
RUNNING,1727826073349,27.834532,30644,worker24:8042,28672,27,27,0.27834532,application_1727684395822_0122,2024-10-02T00:41:43
RUNNING,1727826073349,28.612658,32665,worker24:8042,27648,26,26,0.28612658,application_1727684395822_0122,2024-10-02T00:41:45
RUNNING,1727826073349,36.059486,34699,worker24:8042,23552,22,22,0.36059486,application_1727684395822_0122,2024-10-02T00:41:47
RUNNING,1727826073349,40.661606,36718,worker24:8042,16384,15,15,0.40661606,application_1727684395822_0122,2024-10-02T00:41:49
RUNNING,1727826073349,50.0,38737,worker24:8042,3072,2,2,0.5,application_1727684395822_0122,2024-10-02T00:41:51
RUNNING,1727826181383,0.0,5243,worker11:8042,2048,1,1,0.0,application_1727684395822_0123,2024-10-02T00:43:06
RUNNING,1727826181383,5.0,7263,worker11:8042,30720,29,29,0.05,application_1727684395822_0123,2024-10-02T00:43:08
RUNNING,1727826181383,5.0,9287,worker11:8042,32768,31,31,0.05,application_1727684395822_0123,2024-10-02T00:43:10
RUNNING,1727826181383,5.0,11325,worker11:8042,30720,29,29,0.05,application_1727684395822_0123,2024-10-02T00:43:12
RUNNING,1727826181383,5.0,13351,worker11:8042,30720,29,29,0.05,application_1727684395822_0123,2024-10-02T00:43:14
RUNNING,1727826181383,5.0,15400,worker11:8042,30720,29,29,0.05,application_1727684395822_0123,2024-10-02T00:43:16
RUNNING,1727826181383,5.0,17429,worker11:8042,30720,29,29,0.05,application_1727684395822_0123,2024-10-02T00:43:18
RUNNING,1727826181383,5.0,19457,worker11:8042,30720,29,29,0.05,application_1727684395822_0123,2024-10-02T00:43:20
