node_name,memory_usage,cpu_usage,cpu_cores,total_memory,jobId,timestamp
worker1,0.0,0.5410442879169475,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker2,0.0,0.5716910933170061,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker3,0.0,0.5775267031608466,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker4,0.0,0.564965633203296,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker5,0.0,0.5046295430611858,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker6,0.0,0.5553558585314811,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker7,0.0,0.5500639058644397,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker8,12.5,1.0460002654924083,2,8.0,application_1726669773678_0040,2024-09-20T16:17:24
worker9,0.0,0.5396049751036136,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker10,0.0,0.5574107574750964,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker11,0.0,0.5316961033967949,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker12,0.0,0.5178018871427881,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker13,0.0,0.8962015781657562,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker14,12.5,0.9908520342899019,2,8.0,application_1726669773678_0040,2024-09-20T16:17:24
worker15,0.0,0.7318896836044475,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker16,0.0,0.8241298324419333,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker17,0.0,0.9267853796105063,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker18,0.0,0.8501082855138398,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker19,12.5,1.5101790903687906,2,8.0,application_1726669773678_0040,2024-09-20T16:17:24
worker20,0.0,0.8938937545090564,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker21,0.0,0.7823090530262644,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker22,0.0,0.8397665613870342,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker23,12.5,1.5039761206827706,2,8.0,application_1726669773678_0040,2024-09-20T16:17:24
worker24,0.0,0.9335395863991125,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker25,0.0,0.7962808179312386,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker26,12.5,0.9343117481225294,2,8.0,application_1726669773678_0040,2024-09-20T16:17:24
worker27,0.0,0.8049762259878412,4,1.0,application_1726669773678_0040,2024-09-20T16:17:24
worker28,12.5,1.4677922011093414,2,8.0,application_1726669773678_0040,2024-09-20T16:17:24
