metricsType,state,startedTime,progress,elapsedTime,amHostHttpAddress,allocatedMB,allocatedVCores,runningContainers,clusterUsagePercentage,jobId,timestamp
metricsType=job,RUNNING,1710855463439,5.0,5401,worker1:8042,7168,6,6,0.05,application_1710848715047_0051,1710855466.3804047
metricsType=job,RUNNING,1710855463439,5.0,8578,worker1:8042,17408,16,16,0.05,application_1710848715047_0051,1710855469.5567007
metricsType=job,RUNNING,1710855463439,5.0,11684,worker1:8042,12288,11,11,0.05,application_1710848715047_0051,1710855472.662488
metricsType=job,RUNNING,1710855463439,5.0,15841,worker1:8042,12288,11,11,0.05,application_1710848715047_0051,1710855476.8201506
metricsType=job,RUNNING,1710855463439,5.0,18949,worker1:8042,12288,11,11,0.05,application_1710848715047_0051,1710855479.9273636
metricsType=job,RUNNING,1710855463439,12.375967,22056,worker1:8042,12288,11,11,0.12375966999999999,application_1710848715047_0051,1710855483.0346055
metricsType=job,RUNNING,1710855463439,12.375967,25281,worker1:8042,12288,11,11,0.12375966999999999,application_1710848715047_0051,1710855486.2589917
metricsType=job,RUNNING,1710855463439,16.417372,28445,worker1:8042,12288,11,11,0.16417372,application_1710848715047_0051,1710855489.4228802
metricsType=job,RUNNING,1710855463439,17.204594,32639,worker1:8042,12288,11,11,0.17204594,application_1710848715047_0051,1710855493.6179347
metricsType=job,RUNNING,1710855463439,20.508804,35809,worker1:8042,12288,11,11,0.20508804000000003,application_1710848715047_0051,1710855496.7862449
metricsType=job,RUNNING,1710855463439,23.044487,38988,worker1:8042,12288,11,11,0.23044487,application_1710848715047_0051,1710855499.9654932
metricsType=job,RUNNING,1710855463439,24.609869,42172,worker1:8042,12288,11,11,0.24609869,application_1710848715047_0051,1710855503.149405
metricsType=job,RUNNING,1710855463439,28.562525,45356,worker1:8042,13312,12,12,0.28562525,application_1710848715047_0051,1710855506.3385572
metricsType=job,RUNNING,1710855463439,30.135357,49441,worker1:8042,13312,12,12,0.30135357,application_1710848715047_0051,1710855510.4188192
metricsType=job,RUNNING,1710855463439,33.43886,52609,worker1:8042,13312,12,12,0.3343886,application_1710848715047_0051,1710855513.5867722
metricsType=job,RUNNING,1710855463439,36.916183,55766,worker1:8042,10240,9,9,0.36916182999999997,application_1710848715047_0051,1710855516.743309
metricsType=job,RUNNING,1710855463439,50.0,58909,worker1:8042,4096,3,3,0.5,application_1710848715047_0051,1710855519.886192
metricsType=job,RUNNING,1710855559473,5.0,5109,worker5:8042,8192,7,7,0.05,application_1710848715047_0052,1710855562.12128
metricsType=job,RUNNING,1710855559473,5.0,9172,worker5:8042,12288,11,11,0.05,application_1710848715047_0052,1710855566.1820471
metricsType=job,RUNNING,1710855559473,5.0,12273,worker5:8042,12288,11,11,0.05,application_1710848715047_0052,1710855569.2831857
metricsType=job,RUNNING,1710855559473,5.0,15390,worker5:8042,12288,11,11,0.05,application_1710848715047_0052,1710855572.4002874
metricsType=job,RUNNING,1710855559473,5.0,18499,worker5:8042,12288,11,11,0.05,application_1710848715047_0052,1710855575.5090086
metricsType=job,RUNNING,1710855559473,12.434652,21607,worker5:8042,12288,11,11,0.12434652,application_1710848715047_0052,1710855578.6177046
metricsType=job,RUNNING,1710855559473,12.434652,24831,worker5:8042,12288,11,11,0.12434652,application_1710848715047_0052,1710855581.8428779
metricsType=job,RUNNING,1710855559473,16.439415,27999,worker5:8042,12288,11,11,0.16439415000000002,application_1710848715047_0052,1710855585.0087113
metricsType=job,RUNNING,1710855559473,16.439415,31172,worker5:8042,12288,11,11,0.16439415000000002,application_1710848715047_0052,1710855588.1822782
metricsType=job,RUNNING,1710855559473,20.478338,34351,worker5:8042,12288,11,11,0.20478338000000001,application_1710848715047_0052,1710855591.3614247
metricsType=job,RUNNING,1710855559473,22.272005,37526,worker5:8042,12288,11,11,0.22272005,application_1710848715047_0052,1710855594.536213
metricsType=job,RUNNING,1710855559473,26.102404,40702,worker5:8042,13312,12,12,0.26102404,application_1710848715047_0052,1710855597.7122352
metricsType=job,RUNNING,1710855559473,26.899805,43856,worker5:8042,13312,12,12,0.26899805,application_1710848715047_0052,1710855600.865215
metricsType=job,RUNNING,1710855559473,29.251274,47023,worker5:8042,13312,12,12,0.29251274,application_1710848715047_0052,1710855604.0323977
metricsType=job,RUNNING,1710855559473,30.04728,50180,worker5:8042,13312,12,12,0.3004728,application_1710848715047_0052,1710855607.19005
metricsType=job,RUNNING,1710855559473,33.93895,53332,worker5:8042,12288,11,11,0.3393895,application_1710848715047_0052,1710855610.3419044
metricsType=job,RUNNING,1710855559473,34.327682,56483,worker5:8042,11264,10,10,0.34327682000000004,application_1710848715047_0052,1710855613.4921079
