metricsType,progress,startTime,mapId,state,host,diagnostic,assignedContainer,executionTimeSec,elapsedTimeSec,finishTime,blockId,jobId,timestamp
metricsType=map,15.332863,1710855469215,attempt_1710848715047_0051_m_000000_0,RUNNING,worker2:8042,,container_1710848715047_0051_01_000002,16.353,16.353,0,hdfs://master:9000/pagerank0 > map,application_1710848715047_0051,1710855483.113858
metricsType=map,16.107029,1710855469212,attempt_1710848715047_0051_m_000001_0,RUNNING,worker4:8042,,container_1710848715047_0051_01_000004,16.371,16.371,0,hdfs://master:9000/pagerank1073741824 > map,application_1710848715047_0051,1710855483.1287441
metricsType=map,14.8583355,1710855469215,attempt_1710848715047_0051_m_000002_0,RUNNING,worker5:8042,,container_1710848715047_0051_01_000005,16.382,16.382,0,hdfs://master:9000/pagerank2147483648 > map,application_1710848715047_0051,1710855483.1420476
metricsType=map,16.680798,1710855469217,attempt_1710848715047_0051_m_000003_0,RUNNING,worker3:8042,,container_1710848715047_0051_01_000006,16.392,16.392,0,hdfs://master:9000/pagerank3221225472 > map,application_1710848715047_0051,1710855483.1544905
metricsType=map,16.608252,1710855470116,attempt_1710848715047_0051_m_000004_0,RUNNING,worker1:8042,,container_1710848715047_0051_01_000007,15.506,15.506,0,hdfs://master:9000/pagerank4294967296 > map,application_1710848715047_0051,1710855483.1670687
metricsType=map,16.675144,1710855470133,attempt_1710848715047_0051_m_000005_0,RUNNING,worker4:8042,,container_1710848715047_0051_01_000010,15.501,15.501,0,hdfs://master:9000/pagerank5368709120 > map,application_1710848715047_0051,1710855483.181517
metricsType=map,15.869981,1710855470116,attempt_1710848715047_0051_m_000006_0,RUNNING,worker2:8042,,container_1710848715047_0051_01_000008,15.532,15.532,0,hdfs://master:9000/pagerank6442450944 > map,application_1710848715047_0051,1710855483.1938295
metricsType=map,15.045175,1710855470139,attempt_1710848715047_0051_m_000007_0,RUNNING,worker6:8042,,container_1710848715047_0051_01_000009,15.522,15.522,0,hdfs://master:9000/pagerank7516192768 > map,application_1710848715047_0051,1710855483.206403
metricsType=map,15.440218,1710855470144,attempt_1710848715047_0051_m_000008_0,RUNNING,worker5:8042,,container_1710848715047_0051_01_000011,15.53,15.53,0,hdfs://master:9000/pagerank8589934592 > map,application_1710848715047_0051,1710855483.2195132
metricsType=map,21.292593,1710855469215,attempt_1710848715047_0051_m_000009_0,RUNNING,worker6:8042,,container_1710848715047_0051_01_000003,16.472,16.472,0,hdfs://master:9000/pagerank9663676416 > map,application_1710848715047_0051,1710855483.2319684
metricsType=map,15.332863,1710855469215,attempt_1710848715047_0051_m_000000_0,RUNNING,worker2:8042,,container_1710848715047_0051_01_000002,19.519,19.519,0,hdfs://master:9000/pagerank0 > map,application_1710848715047_0051,1710855486.279114
metricsType=map,16.107029,1710855469212,attempt_1710848715047_0051_m_000001_0,RUNNING,worker4:8042,,container_1710848715047_0051_01_000004,19.537,19.537,0,hdfs://master:9000/pagerank1073741824 > map,application_1710848715047_0051,1710855486.2948136
metricsType=map,14.8583355,1710855469215,attempt_1710848715047_0051_m_000002_0,RUNNING,worker5:8042,,container_1710848715047_0051_01_000005,19.547,19.547,0,hdfs://master:9000/pagerank2147483648 > map,application_1710848715047_0051,1710855486.307606
metricsType=map,16.680798,1710855469217,attempt_1710848715047_0051_m_000003_0,RUNNING,worker3:8042,,container_1710848715047_0051_01_000006,19.557,19.557,0,hdfs://master:9000/pagerank3221225472 > map,application_1710848715047_0051,1710855486.3195035
metricsType=map,16.608252,1710855470116,attempt_1710848715047_0051_m_000004_0,RUNNING,worker1:8042,,container_1710848715047_0051_01_000007,18.671,18.671,0,hdfs://master:9000/pagerank4294967296 > map,application_1710848715047_0051,1710855486.3322284
metricsType=map,16.675144,1710855470133,attempt_1710848715047_0051_m_000005_0,RUNNING,worker4:8042,,container_1710848715047_0051_01_000010,18.667,18.667,0,hdfs://master:9000/pagerank5368709120 > map,application_1710848715047_0051,1710855486.3452213
metricsType=map,15.869981,1710855470116,attempt_1710848715047_0051_m_000006_0,RUNNING,worker2:8042,,container_1710848715047_0051_01_000008,18.697,18.697,0,hdfs://master:9000/pagerank6442450944 > map,application_1710848715047_0051,1710855486.358274
metricsType=map,15.045175,1710855470139,attempt_1710848715047_0051_m_000007_0,RUNNING,worker6:8042,,container_1710848715047_0051_01_000009,18.687,18.687,0,hdfs://master:9000/pagerank7516192768 > map,application_1710848715047_0051,1710855486.3710723
metricsType=map,15.440218,1710855470144,attempt_1710848715047_0051_m_000008_0,RUNNING,worker5:8042,,container_1710848715047_0051_01_000011,18.694,18.694,0,hdfs://master:9000/pagerank8589934592 > map,application_1710848715047_0051,1710855486.384052
metricsType=map,21.292593,1710855469215,attempt_1710848715047_0051_m_000009_0,RUNNING,worker6:8042,,container_1710848715047_0051_01_000003,19.636,19.636,0,hdfs://master:9000/pagerank9663676416 > map,application_1710848715047_0051,1710855486.39657
metricsType=map,24.602537,1710855469215,attempt_1710848715047_0051_m_000000_0,RUNNING,worker2:8042,,container_1710848715047_0051_01_000002,22.695,22.695,0,hdfs://master:9000/pagerank0 > map,application_1710848715047_0051,1710855489.4549873
metricsType=map,24.947681,1710855469212,attempt_1710848715047_0051_m_000001_0,RUNNING,worker4:8042,,container_1710848715047_0051_01_000004,22.713,22.713,0,hdfs://master:9000/pagerank1073741824 > map,application_1710848715047_0051,1710855489.4706523
metricsType=map,23.287056,1710855469215,attempt_1710848715047_0051_m_000002_0,RUNNING,worker5:8042,,container_1710848715047_0051_01_000005,22.723,22.723,0,hdfs://master:9000/pagerank2147483648 > map,application_1710848715047_0051,1710855489.4827487
metricsType=map,25.262949,1710855469217,attempt_1710848715047_0051_m_000003_0,RUNNING,worker3:8042,,container_1710848715047_0051_01_000006,23.75,23.75,0,hdfs://master:9000/pagerank3221225472 > map,application_1710848715047_0051,1710855490.512324
metricsType=map,25.289076,1710855470116,attempt_1710848715047_0051_m_000004_0,RUNNING,worker1:8042,,container_1710848715047_0051_01_000007,22.865,22.865,0,hdfs://master:9000/pagerank4294967296 > map,application_1710848715047_0051,1710855490.5263426
metricsType=map,25.669903,1710855470133,attempt_1710848715047_0051_m_000005_0,RUNNING,worker4:8042,,container_1710848715047_0051_01_000010,22.861,22.861,0,hdfs://master:9000/pagerank5368709120 > map,application_1710848715047_0051,1710855490.5387516
metricsType=map,24.249306,1710855470116,attempt_1710848715047_0051_m_000006_0,RUNNING,worker2:8042,,container_1710848715047_0051_01_000008,22.89,22.89,0,hdfs://master:9000/pagerank6442450944 > map,application_1710848715047_0051,1710855490.551094
metricsType=map,23.433594,1710855470139,attempt_1710848715047_0051_m_000007_0,RUNNING,worker6:8042,,container_1710848715047_0051_01_000009,22.879,22.879,0,hdfs://master:9000/pagerank7516192768 > map,application_1710848715047_0051,1710855490.563831
metricsType=map,23.960197,1710855470144,attempt_1710848715047_0051_m_000008_0,RUNNING,worker5:8042,,container_1710848715047_0051_01_000011,22.888,22.888,0,hdfs://master:9000/pagerank8589934592 > map,application_1710848715047_0051,1710855490.5774753
metricsType=map,33.017117,1710855469215,attempt_1710848715047_0051_m_000009_0,RUNNING,worker6:8042,,container_1710848715047_0051_01_000003,23.83,23.83,0,hdfs://master:9000/pagerank9663676416 > map,application_1710848715047_0051,1710855490.5901995
metricsType=map,33.959805,1710855469215,attempt_1710848715047_0051_m_000000_0,RUNNING,worker2:8042,,container_1710848715047_0051_01_000002,26.879,26.879,0,hdfs://master:9000/pagerank0 > map,application_1710848715047_0051,1710855493.6393661
metricsType=map,33.898865,1710855469212,attempt_1710848715047_0051_m_000001_0,RUNNING,worker4:8042,,container_1710848715047_0051_01_000004,26.897,26.897,0,hdfs://master:9000/pagerank1073741824 > map,application_1710848715047_0051,1710855493.6546884
metricsType=map,32.03676,1710855469215,attempt_1710848715047_0051_m_000002_0,RUNNING,worker5:8042,,container_1710848715047_0051_01_000005,26.907,26.907,0,hdfs://master:9000/pagerank2147483648 > map,application_1710848715047_0051,1710855493.6676457
metricsType=map,33.805565,1710855469217,attempt_1710848715047_0051_m_000003_0,RUNNING,worker3:8042,,container_1710848715047_0051_01_000006,26.919,26.919,0,hdfs://master:9000/pagerank3221225472 > map,application_1710848715047_0051,1710855493.6813207
metricsType=map,34.125572,1710855470116,attempt_1710848715047_0051_m_000004_0,RUNNING,worker1:8042,,container_1710848715047_0051_01_000007,26.035,26.035,0,hdfs://master:9000/pagerank4294967296 > map,application_1710848715047_0051,1710855493.69605
metricsType=map,25.669903,1710855470133,attempt_1710848715047_0051_m_000005_0,RUNNING,worker4:8042,,container_1710848715047_0051_01_000010,26.03,26.03,0,hdfs://master:9000/pagerank5368709120 > map,application_1710848715047_0051,1710855493.7082705
metricsType=map,24.249306,1710855470116,attempt_1710848715047_0051_m_000006_0,RUNNING,worker2:8042,,container_1710848715047_0051_01_000008,26.06,26.06,0,hdfs://master:9000/pagerank6442450944 > map,application_1710848715047_0051,1710855493.7214642
metricsType=map,23.433594,1710855470139,attempt_1710848715047_0051_m_000007_0,RUNNING,worker6:8042,,container_1710848715047_0051_01_000009,26.05,26.05,0,hdfs://master:9000/pagerank7516192768 > map,application_1710848715047_0051,1710855493.7338557
metricsType=map,23.960197,1710855470144,attempt_1710848715047_0051_m_000008_0,RUNNING,worker5:8042,,container_1710848715047_0051_01_000011,26.057,26.057,0,hdfs://master:9000/pagerank8589934592 > map,application_1710848715047_0051,1710855493.7463882
metricsType=map,44.61564,1710855469215,attempt_1710848715047_0051_m_000009_0,RUNNING,worker6:8042,,container_1710848715047_0051_01_000003,26.999,26.999,0,hdfs://master:9000/pagerank9663676416 > map,application_1710848715047_0051,1710855493.7595828
metricsType=map,33.959805,1710855469215,attempt_1710848715047_0051_m_000000_0,RUNNING,worker2:8042,,container_1710848715047_0051_01_000002,30.06,30.06,0,hdfs://master:9000/pagerank0 > map,application_1710848715047_0051,1710855496.8198955
metricsType=map,33.898865,1710855469212,attempt_1710848715047_0051_m_000001_0,RUNNING,worker4:8042,,container_1710848715047_0051_01_000004,30.077,30.077,0,hdfs://master:9000/pagerank1073741824 > map,application_1710848715047_0051,1710855496.8343568
metricsType=map,32.03676,1710855469215,attempt_1710848715047_0051_m_000002_0,RUNNING,worker5:8042,,container_1710848715047_0051_01_000005,30.087,30.087,0,hdfs://master:9000/pagerank2147483648 > map,application_1710848715047_0051,1710855496.8499002
metricsType=map,33.805565,1710855469217,attempt_1710848715047_0051_m_000003_0,RUNNING,worker3:8042,,container_1710848715047_0051_01_000006,30.101,30.101,0,hdfs://master:9000/pagerank3221225472 > map,application_1710848715047_0051,1710855496.8635085
metricsType=map,34.125572,1710855470116,attempt_1710848715047_0051_m_000004_0,RUNNING,worker1:8042,,container_1710848715047_0051_01_000007,29.215,29.215,0,hdfs://master:9000/pagerank4294967296 > map,application_1710848715047_0051,1710855496.8760965
metricsType=map,35.0648,1710855470133,attempt_1710848715047_0051_m_000005_0,RUNNING,worker4:8042,,container_1710848715047_0051_01_000010,29.211,29.211,0,hdfs://master:9000/pagerank5368709120 > map,application_1710848715047_0051,1710855496.8887513
metricsType=map,32.835297,1710855470116,attempt_1710848715047_0051_m_000006_0,RUNNING,worker2:8042,,container_1710848715047_0051_01_000008,29.241,29.241,0,hdfs://master:9000/pagerank6442450944 > map,application_1710848715047_0051,1710855496.9016511
metricsType=map,31.992146,1710855470139,attempt_1710848715047_0051_m_000007_0,RUNNING,worker6:8042,,container_1710848715047_0051_01_000009,29.23,29.23,0,hdfs://master:9000/pagerank7516192768 > map,application_1710848715047_0051,1710855496.9140716
metricsType=map,32.30563,1710855470144,attempt_1710848715047_0051_m_000008_0,RUNNING,worker5:8042,,container_1710848715047_0051_01_000011,29.238,29.238,0,hdfs://master:9000/pagerank8589934592 > map,application_1710848715047_0051,1710855496.9266558
metricsType=map,44.61564,1710855469215,attempt_1710848715047_0051_m_000009_0,RUNNING,worker6:8042,,container_1710848715047_0051_01_000003,30.179,30.179,0,hdfs://master:9000/pagerank9663676416 > map,application_1710848715047_0051,1710855496.9387677
metricsType=map,43.17343,1710855469215,attempt_1710848715047_0051_m_000000_0,RUNNING,worker2:8042,,container_1710848715047_0051_01_000002,33.244,33.244,0,hdfs://master:9000/pagerank0 > map,application_1710848715047_0051,1710855500.0042284
metricsType=map,43.15856,1710855469212,attempt_1710848715047_0051_m_000001_0,RUNNING,worker4:8042,,container_1710848715047_0051_01_000004,33.261,33.261,0,hdfs://master:9000/pagerank1073741824 > map,application_1710848715047_0051,1710855500.0185702
metricsType=map,40.78225,1710855469215,attempt_1710848715047_0051_m_000002_0,RUNNING,worker5:8042,,container_1710848715047_0051_01_000005,33.272,33.272,0,hdfs://master:9000/pagerank2147483648 > map,application_1710848715047_0051,1710855500.031602
metricsType=map,42.370354,1710855469217,attempt_1710848715047_0051_m_000003_0,RUNNING,worker3:8042,,container_1710848715047_0051_01_000006,33.284,33.284,0,hdfs://master:9000/pagerank3221225472 > map,application_1710848715047_0051,1710855500.0460844
metricsType=map,42.86211,1710855470116,attempt_1710848715047_0051_m_000004_0,RUNNING,worker1:8042,,container_1710848715047_0051_01_000007,32.398,32.398,0,hdfs://master:9000/pagerank4294967296 > map,application_1710848715047_0051,1710855500.0588572
metricsType=map,35.0648,1710855470133,attempt_1710848715047_0051_m_000005_0,RUNNING,worker4:8042,,container_1710848715047_0051_01_000010,32.395,32.395,0,hdfs://master:9000/pagerank5368709120 > map,application_1710848715047_0051,1710855500.0735793
metricsType=map,32.835297,1710855470116,attempt_1710848715047_0051_m_000006_0,RUNNING,worker2:8042,,container_1710848715047_0051_01_000008,32.425,32.425,0,hdfs://master:9000/pagerank6442450944 > map,application_1710848715047_0051,1710855500.085927
metricsType=map,31.992146,1710855470139,attempt_1710848715047_0051_m_000007_0,RUNNING,worker6:8042,,container_1710848715047_0051_01_000009,32.415,32.415,0,hdfs://master:9000/pagerank7516192768 > map,application_1710848715047_0051,1710855500.0986428
metricsType=map,32.30563,1710855470144,attempt_1710848715047_0051_m_000008_0,RUNNING,worker5:8042,,container_1710848715047_0051_01_000011,32.422,32.422,0,hdfs://master:9000/pagerank8589934592 > map,application_1710848715047_0051,1710855500.1114717
metricsType=map,56.44404,1710855469215,attempt_1710848715047_0051_m_000009_0,RUNNING,worker6:8042,,container_1710848715047_0051_01_000003,33.364,33.364,0,hdfs://master:9000/pagerank9663676416 > map,application_1710848715047_0051,1710855500.1236343
metricsType=map,43.17343,1710855469215,attempt_1710848715047_0051_m_000000_0,RUNNING,worker2:8042,,container_1710848715047_0051_01_000002,36.428,36.428,0,hdfs://master:9000/pagerank0 > map,application_1710848715047_0051,1710855503.1884587
metricsType=map,43.15856,1710855469212,attempt_1710848715047_0051_m_000001_0,RUNNING,worker4:8042,,container_1710848715047_0051_01_000004,36.445,36.445,0,hdfs://master:9000/pagerank1073741824 > map,application_1710848715047_0051,1710855503.202296
