metricsType,state,startedTime,progress,elapsedTime,amHostHttpAddress,allocatedMB,allocatedVCores,runningContainers,clusterUsagePercentage,jobId,timestamp
metricsType=job,RUNNING,1710848741628,5.0,9471,worker2:8042,8192,7,7,0.05,application_1710848715047_0001,1710848748.775792
metricsType=job,RUNNING,1710848741628,5.0,13316,worker2:8042,28672,27,27,0.05,application_1710848715047_0001,1710848752.6183245
metricsType=job,RUNNING,1710848741628,5.0,17772,worker2:8042,36864,35,35,0.05,application_1710848715047_0001,1710848757.068424
metricsType=job,RUNNING,1710848741628,5.0,21110,worker2:8042,36864,35,35,0.05,application_1710848715047_0001,1710848760.4059095
metricsType=job,RUNNING,1710848741628,5.0,25491,worker2:8042,36864,35,35,0.05,application_1710848715047_0001,1710848764.788824
metricsType=job,RUNNING,1710848741628,5.0,28872,worker2:8042,36864,35,35,0.05,application_1710848715047_0001,1710848768.1687138
metricsType=job,RUNNING,1710848741628,5.0068965,33267,worker2:8042,36864,35,35,0.050068965,application_1710848715047_0001,1710848772.5627337
metricsType=job,RUNNING,1710848741628,5.3063436,37009,worker2:8042,36864,35,35,0.053063436,application_1710848715047_0001,1710848776.3044324
metricsType=job,RUNNING,1710848741628,6.214192,40699,worker2:8042,36864,35,35,0.062141919999999996,application_1710848715047_0001,1710848779.9950345
metricsType=job,RUNNING,1710848741628,6.887999,44819,worker2:8042,36864,35,35,0.06887999,application_1710848715047_0001,1710848784.1149561
metricsType=job,RUNNING,1710848741628,8.357894,48417,worker2:8042,36864,35,35,0.08357894,application_1710848715047_0001,1710848787.7125547
metricsType=job,RUNNING,1710848741628,9.349181,51981,worker2:8042,36864,35,35,0.09349181,application_1710848715047_0001,1710848791.2770169
metricsType=job,RUNNING,1710848741628,10.692122,55553,worker2:8042,36864,35,35,0.10692122,application_1710848715047_0001,1710848794.8488653
metricsType=job,RUNNING,1710848741628,12.04623,59131,worker2:8042,36864,35,35,0.1204623,application_1710848715047_0001,1710848798.4263375
metricsType=job,RUNNING,1710848741628,12.8108635,62728,worker2:8042,36864,35,35,0.128108635,application_1710848715047_0001,1710848802.025266
metricsType=job,RUNNING,1710848741628,14.842193,66394,worker2:8042,35840,34,34,0.14842193,application_1710848715047_0001,1710848805.6901486
metricsType=job,RUNNING,1710848741628,15.971719,70032,worker2:8042,35840,34,34,0.15971719,application_1710848715047_0001,1710848809.328417
metricsType=job,RUNNING,1710848741628,17.312159,73659,worker2:8042,35840,34,34,0.17312159000000002,application_1710848715047_0001,1710848812.9551423
metricsType=job,RUNNING,1710848741628,18.804983,77779,worker2:8042,35840,34,34,0.18804983,application_1710848715047_0001,1710848817.074622
metricsType=job,RUNNING,1710848741628,19.396587,81362,worker2:8042,35840,34,34,0.19396587,application_1710848715047_0001,1710848820.661057
metricsType=job,RUNNING,1710848741628,20.912806,84877,worker2:8042,35840,34,34,0.20912806,application_1710848715047_0001,1710848824.1722622
metricsType=job,RUNNING,1710848741628,21.785381,88521,worker2:8042,35840,34,34,0.21785381,application_1710848715047_0001,1710848827.8154001
metricsType=job,RUNNING,1710848741628,23.12168,92047,worker2:8042,35840,34,34,0.2312168,application_1710848715047_0001,1710848831.343055
metricsType=job,RUNNING,1710848741628,24.688643,95602,worker2:8042,35840,34,34,0.24688643,application_1710848715047_0001,1710848834.8966281
metricsType=job,RUNNING,1710848741628,25.72425,100251,worker2:8042,35840,34,34,0.25724250000000004,application_1710848715047_0001,1710848839.5491138
metricsType=job,RUNNING,1710848741628,27.069458,103909,worker2:8042,35840,34,34,0.27069458,application_1710848715047_0001,1710848843.2034297
metricsType=job,RUNNING,1710848741628,29.062492,107580,worker2:8042,35840,34,34,0.29062492,application_1710848715047_0001,1710848846.876804
metricsType=job,RUNNING,1710848741628,33.6137,112387,worker2:8042,28672,27,27,0.336137,application_1710848715047_0001,1710848851.682579
metricsType=job,RUNNING,1710848741628,34.515865,116068,worker2:8042,28672,27,27,0.34515864999999996,application_1710848715047_0001,1710848855.3631284
metricsType=job,RUNNING,1710848741628,36.511524,121060,worker2:8042,26624,25,25,0.36511524,application_1710848715047_0001,1710848860.3542738
