metricsType,cpu_percent,cpu_count,mem_percent,mem_total,net_upload,net_download,timestamp,jobId
"metricsType=""worker1",4.2,2,6.5,16741896192,257116,257049,1710848751.1166573,application_1710848715047_0001
"metricsType=""worker5",4.4,2,6.5,16741928960,55567,56361,1710848751.119929,application_1710848715047_0001
"metricsType=""worker3",4.6,2,6.6,16741928960,52307,286566,1710848751.1246145,application_1710848715047_0001
"metricsType=""worker2",6.4,2,9.7,16741908480,558158,527087,1710848751.118643,application_1710848715047_0001
"metricsType=""worker6",5.3,2,6.6,16741945344,55634,57025,1710848751.1256006,application_1710848715047_0001
"metricsType=""worker4",4.3,2,6.7,16741949440,257741,257501,1710848751.1185374,application_1710848715047_0001
"metricsType=""worker1",64.7,2,8.0,16741896192,1072840,483975,1710848754.9621294,application_1710848715047_0001
"metricsType=""worker2",95.8,2,11.4,16741908480,689502,600572,1710848754.963231,application_1710848715047_0001
"metricsType=""worker4",63.7,2,8.2,16741949440,469244,480268,1710848754.9631472,application_1710848715047_0001
"metricsType=""worker5",63.8,2,7.9,16741928960,76657,287771,1710848754.9658966,application_1710848715047_0001
"metricsType=""worker6",86.8,2,8.5,16741945344,77868,288869,1710848754.9712787,application_1710848715047_0001
"metricsType=""worker3",63.7,2,8.0,16741928960,74124,519966,1710848754.9706726,application_1710848715047_0001
"metricsType=""worker1",100.0,2,10.2,16741896192,1082698,494758,1710848759.4155927,application_1710848715047_0001
"metricsType=""worker3",100.0,2,10.1,16741928960,83420,526992,1710848759.423579,application_1710848715047_0001
"metricsType=""worker4",100.0,2,10.4,16741949440,477833,487181,1710848759.4164715,application_1710848715047_0001
"metricsType=""worker2",100.0,2,13.5,16741908480,786501,669712,1710848759.4167068,application_1710848715047_0001
"metricsType=""worker5",100.0,2,10.1,16741928960,87248,298133,1710848759.418686,application_1710848715047_0001
"metricsType=""worker6",100.0,2,10.6,16741945344,87814,296337,1710848759.4242816,application_1710848715047_0001
"metricsType=""worker2",100.0,2,15.3,16741908480,851966,722894,1710848762.758564,application_1710848715047_0001
"metricsType=""worker1",100.0,2,11.6,16741896192,1091065,500517,1710848762.7577536,application_1710848715047_0001
"metricsType=""worker5",100.0,2,11.6,16741928960,93487,300513,1710848762.7605724,application_1710848715047_0001
"metricsType=""worker6",100.0,2,12.0,16741945344,98256,306365,1710848762.766426,application_1710848715047_0001
"metricsType=""worker3",100.0,2,11.6,16741928960,93499,537753,1710848762.7653847,application_1710848715047_0001
"metricsType=""worker4",100.0,2,11.8,16741949440,488819,498047,1710848762.758612,application_1710848715047_0001
"metricsType=""worker1",100.0,2,14.4,16741896192,1119194,529841,1710848767.1374946,application_1710848715047_0001
"metricsType=""worker2",100.0,2,17.6,16741908480,15512278,15384710,1710848767.1383858,application_1710848715047_0001
"metricsType=""worker3",100.0,2,14.6,16741928960,5255223,5712452,1710848767.1447403,application_1710848715047_0001
"metricsType=""worker5",100.0,2,14.0,16741928960,119307,329691,1710848767.140544,application_1710848715047_0001
"metricsType=""worker4",100.0,2,15.2,16741949440,6153776,6181437,1710848767.1382334,application_1710848715047_0001
"metricsType=""worker6",100.0,2,15.0,16741945344,457671,675786,1710848767.1469324,application_1710848715047_0001
"metricsType=""worker1",100.0,2,16.9,16741896192,17745662,17176724,1710848770.518198,application_1710848715047_0001
"metricsType=""worker2",100.0,2,20.1,16741908480,30761799,30634020,1710848770.519287,application_1710848715047_0001
"metricsType=""worker6",100.0,2,17.3,16741945344,24906436,25140053,1710848770.5273345,application_1710848715047_0001
"metricsType=""worker3",100.0,2,17.4,16741928960,32449898,32923184,1710848770.5253592,application_1710848715047_0001
"metricsType=""worker4",100.0,2,18.1,16741949440,30674893,30719818,1710848770.5190964,application_1710848715047_0001
"metricsType=""worker5",100.0,2,16.5,16741928960,8546833,8777550,1710848770.5215538,application_1710848715047_0001
"metricsType=""worker2",100.0,2,23.1,16741908480,109329758,109219896,1710848774.9155023,application_1710848715047_0001
