metricsType,cpu_percent,cpu_count,mem_percent,mem_total,net_upload,net_download,timestamp,jobId
"metricsType=""worker2",0.4,2,14.2,16741908480,270035994516,293662497245,1710855468.8573384,application_1710848715047_0051
"metricsType=""worker3",0.1,2,15.3,16741928960,258434067746,295882463878,1710855468.8603768,application_1710848715047_0051
"metricsType=""worker1",1.0,2,16.1,16741896192,359098297433,325686603004,1710855468.8553176,application_1710848715047_0051
"metricsType=""worker4",0.4,2,14.4,16741949440,330950813802,327159983716,1710855468.8561518,application_1710848715047_0051
"metricsType=""worker5",0.2,2,14.0,16741928960,356523450020,323216879804,1710855468.858781,application_1710848715047_0051
"metricsType=""worker6",0.2,2,14.9,16741945344,290484036471,299897484555,1710855468.8663208,application_1710848715047_0051
"metricsType=""worker1",56.7,2,18.0,16741896192,359101301935,325689592320,1710855472.0349152,application_1710848715047_0051
"metricsType=""worker3",63.7,2,17.9,16741928960,258457618879,295906224522,1710855472.0403306,application_1710848715047_0051
"metricsType=""worker2",80.2,2,17.0,16741908480,270040585766,293667299977,1710855472.0373838,application_1710848715047_0051
"metricsType=""worker5",78.9,2,16.7,16741928960,356526891162,323220136259,1710855472.0385845,application_1710848715047_0051
"metricsType=""worker6",80.0,2,17.9,16741945344,290489234506,299902894140,1710855472.0461075,application_1710848715047_0051
"metricsType=""worker4",80.3,2,17.7,16741949440,330959957667,327168744528,1710855472.0363739,application_1710848715047_0051
"metricsType=""worker5",99.8,2,19.4,16741928960,356620218733,323313469689,1710855475.1488628,application_1710848715047_0051
"metricsType=""worker3",55.8,2,18.0,16741928960,258569552332,295980232933,1710855475.150737,application_1710848715047_0051
"metricsType=""worker4",99.5,2,19.8,16741949440,331066304906,327275097948,1710855475.1463885,application_1710848715047_0051
"metricsType=""worker2",100.0,2,19.6,16741908480,270140256771,293766976775,1710855475.1478245,application_1710848715047_0051
"metricsType=""worker1",58.2,2,18.8,16741896192,359171106588,325759390645,1710855475.1456263,application_1710848715047_0051
"metricsType=""worker6",99.5,2,20.3,16741945344,290550941830,300002530733,1710855475.1565688,application_1710848715047_0051
"metricsType=""worker1",55.1,2,18.8,16741896192,359268991110,325857270605,1710855479.3020039,application_1710848715047_0051
"metricsType=""worker2",99.9,2,19.7,16741908480,270334700498,293961417313,1710855479.3044536,application_1710848715047_0051
"metricsType=""worker3",57.3,2,18.0,16741928960,258761977676,296075774858,1710855479.307447,application_1710848715047_0051
"metricsType=""worker5",99.4,2,19.5,16741928960,356809914585,323503162353,1710855479.3057997,application_1710848715047_0051
"metricsType=""worker4",99.8,2,19.9,16741949440,331268948136,327477737984,1710855479.303806,application_1710848715047_0051
"metricsType=""worker6",99.6,2,20.4,16741945344,290646809337,300195276128,1710855479.3141046,application_1710848715047_0051
"metricsType=""worker1",55.4,2,18.9,16741896192,359342709094,325930981669,1710855482.4120607,application_1710848715047_0051
"metricsType=""worker5",99.7,2,19.5,16741928960,356951094059,323644339773,1710855482.4155436,application_1710848715047_0051
"metricsType=""worker2",100.0,2,19.8,16741908480,270479664369,294106379130,1710855482.4144764,application_1710848715047_0051
"metricsType=""worker3",58.2,2,18.0,16741928960,258906005927,296148156069,1710855482.417431,application_1710848715047_0051
"metricsType=""worker4",99.7,2,19.9,16741949440,331421155179,327629942784,1710855482.4132318,application_1710848715047_0051
"metricsType=""worker6",99.7,2,20.5,16741945344,290719189566,300339191488,1710855482.423149,application_1710848715047_0051
"metricsType=""worker5",99.7,2,19.6,16741928960,357089399455,323782641501,1710855485.5206587,application_1710848715047_0051
"metricsType=""worker3",59.5,2,18.0,16741928960,259048023236,296221234824,1710855485.5225933,application_1710848715047_0051
"metricsType=""worker2",99.5,2,19.8,16741908480,270625211333,294251922132,1710855485.5195818,application_1710848715047_0051
"metricsType=""worker6",99.5,2,20.5,16741945344,290788684467,300477727295,1710855485.5280793,application_1710848715047_0051
"metricsType=""worker4",99.8,2,19.9,16741949440,331567274830,327776059147,1710855485.5182683,application_1710848715047_0051
"metricsType=""worker1",56.9,2,18.9,16741896192,359415272011,326003545615,1710855485.5174332,application_1710848715047_0051
"metricsType=""worker1",57.4,2,18.9,16741896192,359491102915,326079368339,1710855488.7419674,application_1710848715047_0051
"metricsType=""worker3",57.4,2,18.0,16741928960,259197648180,296294325064,1710855488.7472675,application_1710848715047_0051
"metricsType=""worker4",99.8,2,19.9,16741949440,331719995860,327928777447,1710855488.7432609,application_1710848715047_0051
"metricsType=""worker5",99.7,2,19.6,16741928960,357238272086,323931512084,1710855488.7459219,application_1710848715047_0051
"metricsType=""worker2",99.5,2,19.8,16741908480,270780430301,294407139052,1710855488.7452126,application_1710848715047_0051
"metricsType=""worker6",99.7,2,20.5,16741945344,290862224494,300627903176,1710855488.753638,application_1710848715047_0051
"metricsType=""worker5",99.5,2,19.6,16741928960,357382406235,324075642325,1710855491.909381,application_1710848715047_0051
"metricsType=""worker3",57.1,2,18.0,16741928960,259343911400,296366131170,1710855491.911268,application_1710848715047_0051
"metricsType=""worker2",99.5,2,19.8,16741908480,270931998358,294558703704,1710855491.9084406,application_1710848715047_0051
"metricsType=""worker1",55.9,2,18.9,16741896192,359565016691,326153281641,1710855491.9060764,application_1710848715047_0051
"metricsType=""worker4",100.0,2,19.9,16741949440,331878351670,328087130032,1710855491.9069877,application_1710848715047_0051
"metricsType=""worker6",99.5,2,20.5,16741945344,290931982590,300772006892,1710855491.9177985,application_1710848715047_0051
"metricsType=""worker3",57.7,2,18.0,16741928960,259542932102,296463858775,1710855496.1070323,application_1710848715047_0051
"metricsType=""worker1",55.2,2,18.9,16741896192,359665848073,326254108059,1710855496.1018739,application_1710848715047_0051
"metricsType=""worker2",99.5,2,19.8,16741908480,271135025816,294761727519,1710855496.104188,application_1710848715047_0051
"metricsType=""worker4",99.5,2,19.9,16741949440,332085995706,328294770415,1710855496.102803,application_1710848715047_0051
"metricsType=""worker6",99.8,2,20.5,16741945344,291028240658,300969474639,1710855496.1128438,application_1710848715047_0051
"metricsType=""worker5",99.6,2,19.6,16741928960,357576915509,324270147948,1710855496.10575,application_1710848715047_0051
"metricsType=""worker2",99.4,2,19.8,16741908480,271286455426,294913154398,1710855499.2712035,application_1710848715047_0051
"metricsType=""worker3",56.4,2,18.0,16741928960,259691921291,296536755628,1710855499.2741652,application_1710848715047_0051
"metricsType=""worker5",99.8,2,19.6,16741928960,357722839925,324416069634,1710855499.272312,application_1710848715047_0051
"metricsType=""worker1",55.3,2,18.9,16741896192,359739248738,326327504335,1710855499.2690527,application_1710848715047_0051
