metricsType,appsPending,appsRunning,availableMB,allocatedMB,totalMB,availableVirtualCores,allocatedVirtualCores,totalVirtualCores,totalNodes,activeNodes,unhealthyNodes,shutdownNodes,cpuUsage,memoryUsage,jobId,timestamp
metricsType=cluster,0,1,47104,2048,49152,47,1,48,6,6,0,0,2.1,4.2,application_1708879049466_0002,1708955815.400509
metricsType=cluster,0,1,28672,20480,49152,29,19,48,6,6,0,0,39.6,41.7,application_1708879049466_0002,1708955819.2013903
metricsType=cluster,0,1,8192,40960,49152,9,39,48,6,6,0,0,81.2,83.3,application_1708879049466_0002,1708955823.6790464
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955827.1937215
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955830.56061
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955834.6020825
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955838.0343373
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955842.848606
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955846.3865654
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955851.0269778
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955854.6118932
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955859.2260215
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955862.7867012
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955867.386048
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955871.0779278
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955874.7811315
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955879.3258293
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955882.8705924
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955887.6247015
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955891.1760454
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955895.7423618
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955899.29105
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955903.9306371
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955907.4633067
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955912.044686
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955915.0911589
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955918.6189263
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955922.2089043
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955925.8029478
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955930.4791565
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955934.0804596
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955937.7033324
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955941.2963154
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1708879049466_0002,1708955944.8899689
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708955949.2156863
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708955952.7332356
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708955956.2393842
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708955959.7651057
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708955963.2773685
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708955966.813174
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708955971.2843618
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708955974.787768
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708955978.3030694
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708955981.9073853
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708955985.3798988
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708955988.8593187
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708955992.3548117
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708955995.8677404
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708955999.3712845
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708956002.8756127
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708956006.3645387
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708956009.8554244
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708956013.328905
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708956016.799033
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708956020.2692251
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708956024.852054
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708956028.3375158
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708956031.8104968
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1708879049466_0002,1708956035.2857769
